log_Mstar,log_Zstar,log_Zgas
9.626824,-1.8610569,-1.6435196
9.375042,-1.9766419,-1.9160788
9.642063,-1.7896878,-1.4462252
9.364763,-1.9332103,-1.8737214
8.782055,-2.0883684,-2.0485966
8.56033,-2.1306605,-2.0234005
8.156408,-2.3199568,-2.3810804
11.774461,-1.6497527,-1.8677555
11.5561905,-1.6399461,-1.6743883
11.530769,-1.6495984,-2.0033264
11.231902,-1.6085165,-1.9530957
10.901496,-1.6183038,-1.9474565
10.990582,-1.6467642,-1.8110921
11.168538,-1.5809888,-2.0382376
11.167358,-1.5683362,-1.8518977
10.854439,-1.5619205,-1.8028227
10.692655,-1.6179477,-1.4065827
10.275336,-1.6807276,-1.5740955
10.291101,-1.6045866,-1.5271543
9.919439,-1.7932528,-1.8519845
10.284725,-1.6722261,-1.5837739
10.11561,-1.718977,-1.7162976
10.422207,-1.4979877,-1.2707963
10.1287985,-1.6568934,-1.3477712
9.7509775,-1.752541,-1.7236507
9.77341,-1.752356,-1.5443729
9.701515,-1.8614123,-1.8085504
9.830639,-1.7597725,-1.7445745
10.010261,-1.6429724,-1.4733325
10.1869,-1.6164492,-1.3309276
10.02011,-1.6884758,-1.4333392
9.253965,-1.8895141,-2.1104121
9.841778,-1.7723018,-1.5110016
9.691824,-1.801743,-1.650346
9.16385,-1.9413869,-2.0355566
9.687204,-1.7267251,-1.5929431
9.142666,-1.9907087,-1.9114809
9.840445,-1.766916,-1.560156
9.26462,-1.8756255,-1.6073673
9.26781,-1.9654647,-1.8691251
9.688831,-1.7846485,-1.8107994
9.763808,-1.8102608,-1.4964458
9.122629,-2.0054636,-1.8835837
8.837975,-2.2232366,-2.2660713
9.207249,-1.9417534,-1.8481039
9.258247,-1.9512762,-1.815788
9.10951,-1.8237634,-1.7857513
9.212811,-1.9958982,-1.9928017
8.816215,-2.1596758,-2.0333135
9.06635,-1.9486848,-1.9255283
8.76092,-2.0627584,-2.122253
8.520318,-2.201772,-2.2372477
9.277142,-1.9050062,-1.7651256
9.886758,-1.3320558,-1.3311968
8.73858,-2.0680726,-1.909904
9.008416,-1.9961149,-1.9003779
9.146184,-1.9869214,-1.9155359
9.776453,-1.3081558,-1.2220501
9.379229,-1.8778464,-1.6689022
9.576755,-1.3174022,-1.2567769
8.583152,-2.100643,-2.0056767
9.229871,-1.4538469,-1.4226797
8.567494,-1.9814272,-1.9074913
8.123138,-2.0177305,-1.9358758
8.426564,-1.6168059,-1.5714732
8.279821,-2.021091,-1.8894892
11.888583,-1.5861373,-1.7788066
11.988277,-1.6327113,-1.6427581
11.626979,-1.6421646,-1.7247277
11.358946,-1.6129339,-1.7208688
11.152129,-1.567651,-1.9531658
10.750742,-1.6234349,-1.8706248
10.535666,-1.6689856,-1.8440078
10.743648,-1.6948462,-1.659548
10.02762,-1.7882606,-1.8520892
10.057015,-1.6972384,-1.3595071
9.677265,-1.842299,-1.8806705
10.051063,-1.6498207,-1.2757457
9.49196,-1.8292378,-1.606685
9.549559,-1.8208271,-1.5842723
8.906361,-2.0770595,-2.1228335
10.017533,-1.2575836,-1.3073248
9.231662,-1.9707355,-1.9454345
9.916042,-1.282125,-1.2937511
9.747087,-1.3233596,-1.251669
9.612757,-1.3352709,-1.2654226
9.584774,-1.3196894,-1.2681923
9.471653,-1.3676949,-1.3278545
9.468618,-1.3942273,-1.2577685
9.309998,-1.4118766,-1.3673475
9.001652,-1.4494871,-1.5389103
8.469045,-1.9986726,-1.8549774
8.89968,-1.5019495,-1.3214244
8.759224,-1.5384727,-1.2733542
8.561453,-1.6942543,-1.5789864
12.073685,-1.5649887,-2.261804
10.165818,-1.6587386,-1.6941141
10.087351,-1.7387135,-1.8063364
10.377677,-1.6422545,-1.4141048
10.1040745,-1.6492035,-1.3962711
9.344321,-1.952178,-1.8959075
9.560551,-1.8328395,-1.5816568
9.336975,-1.9861991,-2.0425656
9.640432,-1.8621422,-1.4281683
9.201461,-1.9968456,-1.9204699
8.718975,-2.1424224,-2.255866
9.21336,-2.0267794,-1.82685
8.80221,-2.006722,-1.8663933
8.649539,-2.1775417,-2.1617055
8.431701,-2.2987297,-2.2955015
8.498999,-2.177914,-2.119169
11.981235,-1.6054773,-2.3043396
10.933683,-1.6043711,-1.8015004
10.919552,-1.6343763,-1.6875335
10.264627,-1.6571991,-1.9349339
10.351025,-1.6932553,-1.7043594
10.135894,-1.8813684,-1.831894
10.1389,-1.6915517,-1.7714138
10.080741,-1.7009196,-1.5250899
10.046044,-1.7088096,-1.328677
