SubhaloID,StellarMass,GasMass,SFR,GasMetallicity,StarMetallicity
168392,67742913000.0,158690250000.0,4.419464,0.020694075,0.021906318
170542,70282740000.0,21119707000.0,0.9771752,0.013901566,0.022484986
170544,35820126000.0,6858117600.0,1.4162363,0.029594783,0.024220556
170546,49616350000.0,638194400.0,0.011736679,0.014070055,0.024819398
172652,90407880000.0,39774640000.0,0.29516044,0.016527688,0.023666518
175241,40443840000.0,31314280000.0,0.00574768,0.010371825,0.024871761
175242,28974141000.0,74802320000.0,6.313745,0.012654265,0.016932048
175245,28660177000.0,14384232000.0,0.018815618,0.008465898,0.023885706
175246,52523577000.0,2565956000.0,0.28179523,0.018826311,0.029306056
177720,71071244000.0,45874740000.0,0.0068146097,0.009236679,0.022181094
179889,97119850000.0,28699183000.0,0.12806538,0.019527834,0.024931634
179890,60212937000.0,60077134000.0,2.365359,0.026247151,0.022234483
181987,44324225000.0,67099857000.0,6.1753473,0.022260701,0.021779077
181988,51043156000.0,10837426000.0,0.15907761,0.016275758,0.020221625
181989,31819094000.0,9424473000.0,0.0206319,0.006957531,0.020685816
181990,44877470000.0,820835300.0,0.007430775,0.029449789,0.02575886
184829,57832240000.0,41669775000.0,0.04805972,0.014626506,0.024029905
184832,31955552000.0,33389349000.0,6.010033,0.018190503,0.018170057
184834,42599780000.0,510409700.0,0.08041205,0.06498825,0.038632482
184836,27001991000.0,3231107000.0,1.1535907,0.046230447,0.024962852
186928,67297427000.0,5275954700.0,0.0025161526,0.006608868,0.021787418
186930,32233044000.0,23933667000.0,2.9582002,0.024503885,0.024701223
188860,29531453000.0,86493090000.0,1.8268082,0.021813678,0.022652106
188861,44788580000.0,31933188000.0,5.7019277,0.023220606,0.02057687
188863,47095992000.0,3236581000.0,0.18713385,0.0065280315,0.02173788
188864,49118170000.0,9583076000.0,0.079847045,0.007573254,0.025067741
192902,61620180000.0,28815016000.0,0.097705126,0.012374844,0.022902688
192903,87956860000.0,4038163200.0,0.019787503,0.0155454455,0.024690451
192904,67830903000.0,54014020000.0,3.5861855,0.016811041,0.021181239
194949,48001040000.0,28333736000.0,0.101529084,0.009310809,0.025278466
197112,50706970000.0,70342230000.0,1.7707866,0.012232126,0.024102727
197114,31165550000.0,57350947000.0,5.0785465,0.018755395,0.021462161
200805,52357150000.0,14517621000.0,0.015797596,0.009765003,0.024905702
200808,42198508000.0,11241503000.0,0.82445234,0.014429048,0.019496705
200810,42981003000.0,2903441200.0,0.0017634535,0.009161075,0.02668889
202636,65121485000.0,17267230000.0,0.17996402,0.025923233,0.025829468
202637,87325250000.0,42684920000.0,5.9785314,0.0148914885,0.023863481
202640,43668054000.0,6983375000.0,0.63303447,0.012576479,0.023864595
204236,43509240000.0,82652840000.0,3.9037647,0.015091605,0.023330132
204237,53149487000.0,20099897000.0,0.063746855,0.009890247,0.027914517
207474,32093606000.0,17816269000.0,1.1351129,0.011863015,0.023102138
207475,28071735000.0,16440822000.0,0.82965535,0.0268908,0.020608202
210769,29299317000.0,31650679000.0,3.2509565,0.022016423,0.023559976
210770,57710846000.0,571055200.0,0.0008202622,0.00759241,0.026981227
212841,28577356000.0,6362558000.0,0.98462945,0.02340713,0.023338124
214457,43238724000.0,3294441200.0,0.65369624,0.026544778,0.028118862
214459,28397881000.0,1466573200.0,0.17945373,0.032900777,0.028480029
216018,28982640000.0,8083096000.0,0.0071322965,0.018573398,0.021585872
217487,56334107000.0,25732750000.0,0.2908285,0.009379915,0.025991362
219033,89649370000.0,372694600.0,0.0070298174,0.012948898,0.026240783
219034,30547030000.0,7150624300.0,0.006832431,0.016381454,0.023235885
220561,38148300000.0,27119145000.0,1.2953863,0.016568784,0.018920874
220564,49452708000.0,3283643600.0,0.12456737,0.011021084,0.026181009
220567,33275398000.0,819644600.0,0.058289874,0.020240933,0.026497474
220570,27346835000.0,112144390.0,0.018999977,0.022824397,0.028738357
222268,91081870000.0,30803423000.0,2.547086,0.016732512,0.022431469
222269,42433160000.0,75237590000.0,1.6921902,0.02350616,0.021829478
223900,62901900000.0,35029193000.0,9.161795,0.017426651,0.020005936
223901,66911360000.0,632933060.0,0.756851,0.025951246,0.031949718
223903,32734611000.0,1536343700.0,0.16107294,0.00816994,0.024673535
225157,75660860000.0,12291709000.0,0.07841404,0.009217514,0.025603356
226195,52859843000.0,46096777000.0,0.035173487,0.0072775986,0.02455175
226196,57002210000.0,20025522000.0,0.08580147,0.011204048,0.023646696
226198,68808660000.0,2313395000.0,8.713983,0.038760938,0.030693233
227575,34848195000.0,26779675000.0,5.309359,0.021850534,0.022639256
227577,25492007000.0,769925300.0,0.094168246,0.04816054,0.026906934
228683,77670080000.0,48017596000.0,1.4468217,0.019268297,0.020625677
230236,47728160000.0,35986297000.0,0.050233927,0.01213206,0.022014882
230238,25703662000.0,45463590000.0,1.5128148,0.017087054,0.018657194
231709,38459670000.0,74599720000.0,1.5942016,0.01293034,0.020027854
231710,46280060000.0,28832616000.0,0.10777692,0.009835142,0.023319514
231711,31638700000.0,12982063000.0,1.4652736,0.022422278,0.021473158
233216,95284290000.0,23051268000.0,1.0248803,0.008722112,0.024655282
234515,58833380000.0,5753607000.0,0.00040610222,0.020679364,0.023163276
234517,28808008000.0,32246082000.0,1.9293693,0.025311688,0.022943735
